Title,Body,Labels,Milestone,Status,Priority
Initialize monorepo (frontend + backend),"Tạo khung dự án React (FE) + Flask (BE), cấu hình lint/format, chạy được local.","backend,frontend,devops",M0,Todo,P0
Docker & local dev,"Docker Compose với Postgres, Redis, MinIO, API, Web.",devops,M0,Todo,P0
CI/CD pipeline,"GitHub Actions build/test FE & BE, lint, build Docker image.",devops,M0,Todo,P0
Database schema & Alembic,Tạo model cốt lõi và migration đầu tiên bằng SQLAlchemy + Alembic.,backend,M0,Todo,P0
Auth API (JWT) + RBAC,"Đăng ký/đăng nhập, JWT access/refresh, phân quyền.","backend,security",M1,Todo,P0
React auth guard (FE),"Bảo vệ route, lưu token, refresh token tự động.",frontend,M1,Todo,P0
Tutor profile & Service APIs,Tutor tạo dịch vụ theo giờ; quản lý hồ sơ.,backend,M2,Todo,P0
Search API (MVP) + FE Search,"Tìm kiếm tutor theo tên/subject, filter theo giá/rating.","backend,frontend",M2,Todo,P0
Booking domain & API,"Tạo yêu cầu booking, trạng thái, check trùng giờ.","backend,frontend",M3,Todo,P0
Payment integration (giữ tiền/capture),"Tích hợp cổng thanh toán sandbox, intent, capture, refund.","backend,security",M3,Todo,P0
Schedulers & Reminders,"Nhắc lịch T-24h/T-1h, auto-cancel booking chưa thanh toán.",platform,M3,Todo,P0
Realtime chat (Socket),"Chat Student↔Tutor theo booking, realtime, lưu DB.","backend,frontend",M4,Todo,P0
Notifications (email + in-app),Thông báo bằng email + in-app cho các sự kiện chính.,"platform,frontend",M4,Todo,P0
Reviews (sau buổi học),Student đánh giá tutor sau khi complete.,"backend,frontend",M5,Todo,P0
Moderator: KYC & báo cáo nội dung,Duyệt hồ sơ tutor và xử lý report.,"backend,frontend",M5,Todo,P0
QA cơ bản & bảo mật,"Pytest, Cypress, kiểm tra OWASP Top 10.","backend,frontend,security",M7,Todo,P0
Email service integration,"Tích hợp email provider, gửi verify/reset password.",platform,M1,Todo,P1
Account settings (FE),"Trang cài đặt tài khoản: avatar, contact info, đổi mật khẩu.",frontend,M1,Todo,P1
Video upload (intro),Upload video giới thiệu tutor (S3 presigned).,platform,M2,Todo,P1
Payouts for tutors,Tính thu nhập và trigger payout job; export statement.,"backend,finance",M3,Todo,P1
My schedule (Student/Tutor),FE calendar view lịch học.,frontend,M3,Todo,P1
Chat moderation hooks,"Profanity filter, báo cáo tin nhắn.","backend,security",M4,Todo,P1
Web push (optional),Thông báo realtime bằng webpush.,frontend,M4,Todo,P2
Report/complaint API,"API báo cáo nội dung, gắn booking/chat.","backend,security",M5,Todo,P1
Moderator dashboard (BE),"Queues: KYC approvals, content reports.",backend,M5,Todo,P1
FE: Moderator tools UI,UI hàng đợi moderation.,frontend,M5,Todo,P2
Admin dashboard (metrics),"KPIs: bookings/day, GMV, conversion funnel, CSAT.","backend,frontend",M6,Todo,P1
Catalog admin,CRUD subjects; promo codes.,backend,M6,Todo,P2
Audit logs,"Ghi lại hành động nhạy cảm (role change, refund, ban).","backend,security",M6,Todo,P1
Basic analytics events,Sự kiện search→view→booking→complete.,platform,M6,Todo,P2
Automated tests (BE),Pytest unit/integration; coverage.,backend,M7,Todo,P0
Automated tests (FE),"Vitest/RTL, Cypress/Playwright.",frontend,M7,Todo,P0
Security hardening,"Rate limiting, captcha, XSS/SQLi protections.","backend,security",M7,Todo,P0
Performance & load test,"k6/JMeter cho search, booking, chat.",platform,M7,Todo,P1
Staging & seed data,"Môi trường staging, dữ liệu demo.",devops,M7,Todo,P0
Runbook & incident playbook,"Tài liệu on-call, rollback, status page.",ops,M7,Todo,P1
Launch checklist,"Privacy policy, ToS, cookie banner, backup, DR plan.",ops,M7,Todo,P0
